id;age;sex;education
;0;Muž;Stredná škola - výučný list
joy;fear;disgust;sadness;anger;surprise;contempt;valence;engagement;affectivaAgeGroup;affectivaGender;Timestamp;TimeReacted
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;;0
0.008287;0.00250677;0.240155;0.0159315;0.00107466;0.203926;0.133962;2.29158;0.872328;35-44;male;;24
0.008287;0.00250677;0.240155;0.0159315;0.00107466;0.203926;0.133962;2.29158;0.872328;35-44;male;;41
0.00850131;0.0024785;0.237228;0.01576;0.00105599;0.203762;0.134387;2.46144;0.878103;35-44;male;;60
0.00850131;0.0024785;0.237228;0.01576;0.00105599;0.203762;0.134387;2.46144;0.878103;35-44;male;;81
0.00811339;0.00251744;0.241194;0.0153991;0.00111935;0.198527;0.13608;2.46309;0.554587;35-44;male;;100
0.00811339;0.00251744;0.241194;0.0153991;0.00111935;0.198527;0.13608;2.46309;0.554587;35-44;male;;121
0.00616086;0.00281896;0.269523;0.0167535;0.00127345;0.198018;0.148556;0.865239;0.394031;35-44;male;;141
0.00616086;0.00281896;0.269523;0.0167535;0.00127345;0.198018;0.148556;0.865239;0.394031;35-44;male;;172
0.00440619;0.00321611;0.312546;0.0184123;0.00149558;0.195725;0.165659;0;0.239417;35-44;male;;180
0.00440619;0.00321611;0.312546;0.0184123;0.00149558;0.195725;0.165659;0;0.239417;35-44;male;;211
0.00376895;0.0034509;0.331795;0.0198216;0.00160203;0.194119;0.169875;0;0.168591;35-44;male;;220
0.00376895;0.0034509;0.331795;0.0198216;0.00160203;0.194119;0.169875;0;0.168591;35-44;male;;241
0.00330967;0.00367688;0.375816;0.0207342;0.0017696;0.194192;0.16942;0;0.138365;35-44;male;;260
0.00330967;0.00367688;0.375816;0.0207342;0.0017696;0.194192;0.16942;0;0.138365;35-44;male;;308
0.00290396;0.00392262;0.407425;0.0212581;0.00196774;0.196438;0.177316;0;0.122778;35-44;male;;308
0.00290396;0.00392262;0.407425;0.0212581;0.00196774;0.196438;0.177316;0;0.122778;35-44;male;;376
0.00286937;0.00403527;0.467137;0.0197788;0.00223642;0.211107;0.178115;0;0.139193;35-44;male;;376
0.00286937;0.00403527;0.467137;0.0197788;0.00223642;0.211107;0.178115;0;0.139193;35-44;male;;408
0.00290945;0.00416371;0.511792;0.0175492;0.00262965;0.236507;0.181159;0;0.188016;35-44;male;;416
0.00290945;0.00416371;0.511792;0.0175492;0.00262965;0.236507;0.181159;0;0.188016;35-44;male;;476
0.00334595;0.00427671;0.692787;0.0129939;0.00373466;0.302203;0.181935;0;0.387916;35-44;male;;476
0.00334595;0.00427671;0.692787;0.0129939;0.00373466;0.302203;0.181935;0;0.387916;35-44;male;;540
0.00542067;0.00443245;1.10067;0.0049917;0.0100773;0.63491;0.184883;0;3.09121;35-44;male;;540
0.00542067;0.00443245;1.10067;0.0049917;0.0100773;0.63491;0.184883;0;3.09121;35-44;male;;608
0.00687482;0.00481833;1.75543;0.00289423;0.0207576;1.04068;0.191009;0;12.4641;35-44;male;;608
0.00687482;0.00481833;1.75543;0.00289423;0.0207576;1.04068;0.191009;0;12.4641;35-44;male;;676
0.00893445;0.0050124;2.26643;0.00168936;0.0386423;1.6545;0.195602;0;35.411;35-44;male;;676
0.00893445;0.0050124;2.26643;0.00168936;0.0386423;1.6545;0.195602;0;35.411;35-44;male;;708
0.0100223;0.00546331;1.30009;0.00136397;0.045397;2.18899;0.199106;0;51.0921;35-44;male;;716
